time,open,high,low,close,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
2018-11-01T01:00:00+01:00,2.071,2.071,2.071,2.071,61.30612577,61.55642869,NaN,NaN
2018-12-01T01:00:00+01:00,2.085,2.085,2.085,2.085,61.81544316,62.2108508,NaN,NaN
2019-01-01T01:00:00+01:00,1.883,1.883,1.883,1.883,51.31919395,62.01018715,NaN,NaN
2019-02-01T01:00:00+01:00,1.735,1.735,1.735,1.735,45.25591528,61.31102525,NaN,NaN
2019-03-01T01:00:00+01:00,1.632,1.632,1.632,1.632,41.57449907,60.14720569,NaN,NaN
2019-04-01T02:00:00+02:00,1.731,1.731,1.731,1.731,46.11197648,59.24358201,NaN,NaN
2019-05-01T02:00:00+02:00,1.652,1.652,1.652,1.652,43.22699109,57.32585655,NaN,NaN
2019-06-01T02:00:00+02:00,1.751,1.751,1.751,1.751,47.6473857,56.05783839,NaN,NaN
2019-07-01T02:00:00+02:00,1.758,1.758,1.758,1.758,47.9559444,54.57994686,NaN,NaN
2019-08-01T02:00:00+02:00,1.836,1.836,1.836,1.836,51.39368689,53.5418435,NaN,NaN
2019-09-01T02:00:00+02:00,1.686,1.686,1.686,1.686,45.20911609,51.88619037,NaN,NaN
2019-10-01T02:00:00+02:00,1.69,1.69,1.69,1.69,45.39781233,50.71441439,NaN,NaN
